Team,Shots,Hits,Faceoffs_Won,Faceoff_Win_Percent,Power_Play_Opportunities,Power_Play_Goals,Power_Play_Percentage,Shot_Handed_Goals,Total_Penalties,Penalty_Minutes,Blocked_Shots,Takeaways,Giveaways
TB,27,19,23,45.1,5,2,40.0,0,6,15,10,1,5
BUF,28,20,28,54.9,4,0,0.0,1,8,27,8,5,8
